Paul Desmond vs. Gerry Mulligan-Stan Getz-Zoot Sims-Lee Konitz-Warne Marsh, (N = 18 vs. 83)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, mean_length_chromatic_ascending, 3.8499999999999996, 2.8077108433734934, *, 0.6590007248283031
3, ric_mean_seg_len_02_short, 3.0255555555555556, 4.36710843373494, *, -0.6775849986208582
5, avgtempo, 167.1222222222222, 219.36024096385543, ***, -0.930955972807643
6, mean_length_seq_descending, 4.056666666666667, 4.726265060240964, **, -0.7144944342204137
8, pitch_median, 66.72222222222223, 63.59036144578313, **, 0.7341432438030421
9, durclass_bigram_entropy, 2.6122222222222224, 1.7801204819277112, ***, 1.0827462821066056
11, ric_mean_seg_len, 2.0555555555555554, 2.6639759036144572, **, -0.7543300796731157
13, art_median, 0.7966666666666666, 0.8506024096385543, *, -0.6486599617361946
15, mean_length_step_descending, 3.3833333333333333, 4.194096385542169, *, -0.5784315307382694
16, durclass_abs_hist_01_very_short, 0.37388888888888894, 0.6527710843373494, ***, -1.156757961225626
17, durclass_rel_hist_02_short, 0.5811111111111111, 0.7072289156626506, *, -0.5728062468067195
18, event_density, 3.171111111111111, 5.061927710843374, ***, -1.44378635049116
19, ioiclass_rel_hist_02_short, 0.5127777777777778, 0.6542168674698796, **, -0.716707414149005
