Paul Desmond vs. Lee Konitz-Warne Marsh, (N = 18 vs. 27)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
1, ioiclass_rel_hist_02_short, 0.5127777777777778, 0.782962962962963, ***, -1.6689696206627973
3, mean_length_seq_descending, 4.056666666666667, 4.837777777777778, **, -0.952201357048208
4, aic_mean_seg_len_01_very_short, 1.3833333333333333, 2.6340740740740736, *, -0.7635966510406365
5, ric_mean_seg_len_02_short, 3.0255555555555556, 5.258518518518519, **, -1.029394808519177
9, aic_mean_seg_len_02_short, 2.812777777777778, 1.8462962962962965, *, 0.7976467315191614
10, durclass_bigram_entropy, 2.6122222222222224, 1.5285185185185184, ***, 1.6079272826558668
12, art_std, 0.17722222222222223, 0.14962962962962964, **, 0.8486417722111119
13, ric_mean_seg_len, 2.0555555555555554, 3.0996296296296295, ***, -1.0865885907673205
14, mean_number_of_unique_pc, 6.04, 7.751851851851852, *, -0.7371200517738024
16, ioiclass_rel_entropy, 0.7211111111111111, 0.39333333333333337, ***, 2.075194702042161
17, mean_length_step, 4.545555555555556, 5.763703703703703, **, -0.8347986609398683
18, mean_length_step_descending, 3.3833333333333333, 4.473703703703704, *, -0.7819389514322176
19, metrical_event_density, 4.882222222222222, 6.437407407407407, **, -0.9494689200790501
